,,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,FTeam,Salary,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
46,Nate Schmidt,VAN,5.95,28,D,59,7,24,31,12,11,21:40,19:02,1:02,1:35,6,1,0,0,0,18,6,0,4,1,24,7,0,4,1,22.60%,0.328,1.126,1.454,0.32,0.961,1.282,0.972,5.835,6.807,0.119,0.407,0.525,112,6.30%,25,91,0,0,0.00%
47,Mark Giordano,CGY,6.75,36,D,60,5,26,31,34,2,23:53,18:29,2:40,2:43,3,2,0,0,0,15,9,2,4,1,18,11,2,4,1,35.50%,0.209,1.088,1.298,0.162,0.811,0.974,0.749,3.368,4.117,0.083,0.433,0.517,157,3.20%,42,148,0,0,0.00%
48,Josh Morrissey,WPG,6.25,24,D,65,5,26,31,24,1,22:45,20:03,1:44,0:57,4,1,0,0,0,15,11,0,4,2,19,12,0,4,2,38.70%,0.203,1.054,1.257,0.184,0.69,0.874,0.529,5.815,6.344,0.077,0.4,0.477,120,4.20%,34,59,0,0,0.00%
49,Oliver Ekman-Larsson,ARI,8.25,28,D,66,9,21,30,38,-3,23:00,18:16,2:40,2:04,6,2,1,1,0,16,5,0,2,0,22,7,1,3,0,23.30%,0.356,0.83,1.185,0.299,0.796,1.095,0.681,1.702,2.383,0.136,0.318,0.455,135,6.70%,129,65,0,0,0.00%
50,Seth Jones,CBJ,5.4,25,D,56,6,24,30,20,10,25:16:00,20:17,2:34,2:25,4,2,0,0,0,16,7,1,8,4,20,9,1,8,4,30.00%,0.254,1.017,1.271,0.211,0.845,1.056,0.833,2.914,3.747,0.107,0.429,0.536,126,4.80%,62,123,0,0,0.00%
51,Cam Fowler,ANA,6.5,28,D,59,9,20,29,20,0,21:58,18:44,2:33,0:40,7,2,0,2,0,14,6,0,4,0,21,8,0,6,0,27.60%,0.416,0.925,1.342,0.38,0.76,1.14,0.794,2.381,3.175,0.153,0.339,0.492,117,7.70%,25,58,0,0,0.00%
52,Erik Gustafsson,CGY,3,27,D,66,6,23,29,27,-9,20:22,17:30,2:41,0:10,4,2,0,0,0,16,7,0,2,0,20,9,0,2,0,31.00%,0.268,1.026,1.294,0.208,0.831,1.038,0.675,2.362,3.037,0.091,0.348,0.439,103,5.80%,86,58,0,0,0.00%
53,Colton Parayko,STL,5.5,26,D,64,10,18,28,16,8,23:00,20:16,0:46,1:56,7,3,0,1,1,15,2,1,3,0,22,5,1,4,1,17.90%,0.408,0.734,1.141,0.324,0.693,1.017,3.635,2.423,6.059,0.156,0.281,0.438,162,6.20%,87,106,0,0,0.00%
54,Devon Toews,COL,4.1,25,D,68,6,22,28,16,1,20:30,18:10,2:14,0:05,5,1,0,1,1,17,5,0,5,1,22,6,0,6,2,21.40%,0.258,0.947,1.205,0.243,0.825,1.068,0.394,1.97,2.364,0.088,0.324,0.412,122,4.90%,55,75,0,0,0.00%
55,Jonas Brodin,MIN,6,26,D,69,2,26,28,24,15,21:33,19:05,0:24,2:02,2,0,0,0,0,23,1,2,5,0,25,1,2,5,0,3.60%,0.081,1.049,1.13,0.091,1.047,1.138,0,2.133,2.133,0.029,0.377,0.406,103,1.90%,41,112,0,0,0.00%
56,Jacob Trouba,NYR,8,25,D,70,7,20,27,61,-12,22:33,18:16,1:47,2:30,3,4,0,1,0,14,4,2,2,0,17,8,2,3,0,29.60%,0.266,0.76,1.026,0.141,0.657,0.797,1.92,1.92,3.839,0.1,0.286,0.386,168,4.20%,173,128,0,0,0.00%
57,Dmitry Orlov,WSH,5.1,28,D,69,4,23,27,36,5,22:10,19:52,1:24,0:53,3,1,0,2,1,18,4,1,2,1,21,5,1,4,2,18.50%,0.157,0.902,1.059,0.131,0.788,0.919,0.617,2.467,3.083,0.058,0.333,0.391,105,3.80%,106,82,0,0,0.00%
58,Morgan Rielly,TOR,5,25,D,47,3,24,27,24,6,24:12:00,19:52,2:20,1:59,3,0,0,2,1,17,7,0,2,0,20,7,0,4,1,25.90%,0.158,1.266,1.424,0.193,1.092,1.284,0,3.819,3.819,0.064,0.511,0.574,123,2.40%,38,67,0,1,0.00%
59,Duncan Keith,CHI,5.538,36,D,61,3,24,27,18,1,24:23:00,19:22,2:16,2:44,1,2,0,0,0,15,9,0,5,2,16,11,0,5,2,40.70%,0.121,0.968,1.089,0.051,0.762,0.813,0.862,3.88,4.742,0.049,0.393,0.443,111,2.70%,26,117,0,0,0.00%
60,Jakob Chychrun,ARI,4.6,21,D,63,12,14,26,38,4,22:26,18:44,2:11,1:30,7,5,0,2,0,11,3,0,5,0,18,8,0,7,0,30.80%,0.509,0.594,1.104,0.356,0.559,0.915,2.168,1.301,3.469,0.19,0.222,0.413,149,8.10%,75,95,0,0,0.00%
61,Ryan Graves,COL,3.16,24,D,69,9,17,26,45,40,18:56,16:05,0:03,2:47,9,0,0,0,0,15,0,2,3,0,24,0,2,3,0,0.00%,0.413,0.78,1.194,0.487,0.811,1.298,0,0,0,0.13,0.246,0.377,134,6.70%,112,150,0,0,0.00%
62,John Marino,PIT,1,22,D,56,6,20,26,20,17,20:14,17:27,0:45,2:02,5,1,0,0,0,17,3,0,3,2,22,4,0,3,2,15.40%,0.318,1.059,1.376,0.307,1.044,1.351,1.426,4.277,5.703,0.107,0.357,0.464,61,9.80%,72,77,0,0,0.00%
63,Ian Cole,COL,4.25,30,D,65,4,22,26,36,21,17:41,15:17,0:01,2:23,4,0,0,1,0,22,0,0,6,0,26,0,0,7,0,0.00%,0.209,1.147,1.356,0.242,1.329,1.57,0,0,0,0.062,0.338,0.4,92,4.40%,83,122,0,0,0.00%
64,Travis Sanheim,PHI,3.25,23,D,69,8,17,25,32,4,20:09,17:26,0:54,1:48,8,0,0,0,0,13,4,0,4,0,21,4,0,4,0,16.00%,0.345,0.733,1.079,0.399,0.648,1.047,0,3.837,3.837,0.116,0.246,0.362,110,7.30%,41,79,0,0,0.00%
65,Brady Skjei,CAR,5.25,25,D,67,8,16,24,45,-10,20:41,18:01,0:07,2:33,8,0,0,1,0,14,0,2,3,0,22,0,2,4,0,0.00%,0.346,0.692,1.039,0.398,0.696,1.093,0,0,0,0.119,0.239,0.358,139,5.80%,103,96,0,0,0.00%
66,Mathew Dumba,MIN,6,25,D,69,6,18,24,41,-7,22:29,18:43,2:39,1:06,5,1,0,1,1,10,7,1,1,0,15,8,1,2,1,33.30%,0.232,0.696,0.928,0.232,0.464,0.696,0.326,2.284,2.611,0.087,0.261,0.348,167,3.60%,98,88,0,0,0.00%
67,Sean Walker,LAK,2.65,25,D,70,5,19,24,26,-12,18:49,16:47,0:49,1:13,5,0,0,0,0,14,5,0,2,1,19,5,0,2,1,20.80%,0.228,0.865,1.093,0.255,0.715,0.97,0,5.236,5.236,0.071,0.271,0.343,127,3.90%,81,84,0,0,0.00%
68,Jake Gardiner,CAR,4.05,29,D,68,4,20,24,30,-24,16:39,14:49,1:47,0:02,3,1,0,2,1,10,10,0,1,0,13,11,0,3,1,45.80%,0.212,1.059,1.271,0.179,0.595,0.774,0.493,4.926,5.419,0.059,0.294,0.353,87,4.60%,43,42,0,0,0.00%
69,Vince Dunn,STL,1,23,D,71,9,14,23,27,15,16:16,14:42,1:29,0:03,5,4,0,1,0,8,6,0,2,1,13,10,0,3,1,43.50%,0.467,0.727,1.195,0.287,0.459,0.747,2.256,3.384,5.64,0.127,0.197,0.324,138,6.50%,50,47,0,0,0.00%
70,Jake Muzzin,TOR,5.625,30,D,53,6,17,23,40,12,21:35,18:48,0:16,2:31,6,0,0,1,0,16,0,1,2,0,22,0,1,3,0,0.00%,0.315,0.891,1.206,0.361,0.963,1.324,0,0,0,0.113,0.321,0.434,99,6.10%,109,110,0,0,0.00%
